№;Место хранения;Памятник;Постройка;Вид;Тип;"Индивид. номер 
(музейный, если есть)";"Номер квадрата/участка
 по археологическим отчётам";"Год 
находки";"Количество 
фрагментов";цвет;Название;Примечание
490;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Индивидуальный;;центральная апсида;2014-2015;60;;;
491;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Индивидуальная фреска;Индивидуальный;;центральная апсида;2014-2015;2;;;
492;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№346;уч. 22;2016;77;;;
493;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№347;уч. 22, пл. 2;2016;169;;;
494;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№348;уч. 22, пл. 2;2016;97;;;
495;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№349;уч. 22;2016;91;;;
496;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№350;уч. 22;2016;89;;;
497;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№351;уч. 22, пл. 3;2016;353;;;
498;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№352;уч. 22, пл. 4;2016;73;;;
499;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№353;уч. 22, пл. 4;2016;355;;;
500;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№354;кв. 17, пл. 3;2016;357;;;
501;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№355;кв. 18, пл. 5;2016;57;;;
502;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№356;кв. 14/19, пл. 5/7;2016;123;;;
503;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;7;;;
504;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Индивидуальный;;южная апсида;2014-2015;70;;;
505;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Индивидуальный;;южная апсида;2014-2015;70;;;
506;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Индивидуальный;;южная апсида;2014-2015;80;;;
507;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Индивидуальный;;южная апсида;2014-2015;100;;;
508;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Индивидуальный;;южная апсида;2014-2015;50;;;
509;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Индивидуальный;;южная апсида;2014-2015;100;;;
510;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;19;;;
511;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;7;;;
512;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;8;;;
513;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;4;;;
514;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;4;;;
515;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;8;;;
516;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Индивидуальный;;южная апсида;2014-2015;100;;;
517;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Индивидуальный;;южная апсида;2014-2015;120;;;
518;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Индивидуальный;;южная апсида;2014-2015;120;;;
519;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Индивидуальная фреска;Индивидуальный;;;2014-2015;5;;;
520;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Индивидуальный;;;2014-2015;130;;;
521;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Индивидуальный;;северная апсида;2014-2015;50;;;
522;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Индивидуальная фреска;Индивидуальный;;северная апсида;2014-2015;3;;;
523;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Индивидуальная фреска;Индивидуальный;;северная апсида;2014-2015;4;;;
524;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Индивидуальный;;северная апсида;2014-2015;90;;;
525;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Индивидуальный;;северная апсида;2014-2015;57;;;
526;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Индивидуальный;;центральная апсида;2014-2015;83;;;
527;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Индивидуальный;;центральная апсида;2014-2015;90;;;
528;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Индивидуальный;;центральная апсида;2014-2015;60;;;
529;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Индивидуальный;;центральная апсида;2014-2015;24;;;
530;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Индивидуальный;;подкупольное простство;2014-2015;90;;;
531;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№357;уч. 22, пл. 4;2016;105;;;
532;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№358;уч. 22, пл. 4;2016;117;;;
533;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№359;уч. 22, пл. 4;2016;199;;;
534;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№360;уч. 22, пл. 5;2016;290;;;
535;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№361;уч. 22, пл. 6;2016;341;;;
536;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№362;кв. 13, пл. 3;2016;371;;;
537;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№363;уч. 22, пл. 5;2016;356;;;
538;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№364;уч. 22;2016;71;;;
539;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№365;уч. 22;2016;35;;;
540;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№366;кв. 18, пл. 5;2016;110;;;
541;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№367;уч. 22, пл. 2;2016;101;;;
542;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№368;уч. 22;2016;81;;;
543;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№369;уч. 22;2016;58;;;
544;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№370;уч. 22, кв. 2;2016;158;;;
545;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№371;уч. 22;2016;100;;;
546;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№372;уч. 22, пл. 4;2016;89;;;
547;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№373;уч. 22, пл. 3;2016;146;;;
548;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№374;кв. 22, пл. 6;2016;314;;;
549;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№375;уч. 22, пл. 5;2016;96;;;
550;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№376;кв. 18, пл. 5;2016;202;;;
551;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№377;уч. 22, пл. 4;2016;82;;;
552;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№378;уч. 22, пл. 4;2016;153;;;
553;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№379;уч. 22;2016;109;;;
554;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№380;;2016;68;;;
555;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№381;отвал;2016;195;;;
556;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№382;кв. 18, пл. 5;2016;145;;;
557;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№383;уч. 22, кв. 2;2016;110;;;
558;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№384;кв. 16, пл. 3;2016;91;;;
559;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№385;уч. 22, пл. 2;2016;168;;;
560;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№386;кв. 21, пл. 4;2016;40;;;
561;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№387;;2016;183;;;
562;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№388;кв. 17/22, пл. 3/6;2016;105;;;
563;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№389;уч. 22, пл. 3;2016;175;;;
564;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№390;кв. 16, пл. 2;2016;220;;;
565;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№391;кв. 15, пл. 3;2016;209;;;
566;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№392;уч. 22;2016;80;;;
567;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№393;уч. 22, пл. 2;2016;132;;;
568;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№394;уч. 22, пл. 40;2016;169;;;
569;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№395;уч. 22, пл. 5;2016;149;;;
570;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№396;уч. 22, пл. 6;2016;303;;;
571;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№397;уч. 22, пл. 1;2016;109;;;
572;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№398;уч. 22, пл. 4;2016;154;;;
573;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№399;кв. 21/13, пл. 5/3;2016;178;;;
574;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№400;кв. 15, пл. 6;2016;100;;;
575;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№401;уч. 22, пл. 2;2016;153;;;
576;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№402;уч. 22, пл. 2;2016;133;;;
577;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№403;уч. 22;2016;269;;;
578;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№406;уч. 22, пл. 4;2016;230;;;
579;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№407;уч. 22, пл. 4;2016;220;;;
580;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№408;уч. 22;2016;80;;;
581;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№409;уч. 22, пл. 2;2016;106;;;
582;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№410;уч. 22;2016;91;;;
583;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№411;уч. 22;2016;108;;;
584;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№412;уч. 22, пл. 4;2016;74;;;
585;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№413;уч. 22, пл. 4;2016;94;;;
586;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№414;уч. 22, пл. 2;2016;83;;;
587;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№415;уч. 22, пл. 5;2016;171;;;
588;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№416;кв. 16, пл. 3;2016;235;;;
589;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№417;уч. 22, пл. 6;2016;186;;;
590;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№418;уч. 22, пл. 1;2016;224;;;
591;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№419;уч. 22, кв. 2;2016;137;;;
592;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№420;уч. 22, пл. 2;2016;165;;;
593;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№421;кв. 18, пл. 4;2016;233;;;
594;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№422;кв. 17, пл. 3-5;2016;253;;;
